1.767	-121.1	-136.4
1.775	-114.6	-136.9
1.783	-108	-137.7
1.792	-101.2	-137.9
1.8	-94.25	-138.2
1.808	-87.57	-138.8
1.817	-80.47	-139.4
1.825	-73.45	-139.8
1.833	-66.47	-140
1.842	-59.24	-140.3
1.85	-51.97	-140.7
1.858	-44.68	-140.8
1.867	-37.49	-141
1.875	-30.07	-141.4
1.883	-22.85	-141.7
1.892	-15.31	-141.8
1.9	-8.17	-141.7
1.908	-0.977	-141.9
1.917	6.336	-141.8
1.925	13.66	-141.7
1.933	21.41	-141.6
1.942	28.65	-141.5
1.95	35.98	-141.4
1.958	43.23	-141.4
1.967	50.56	-141.1
1.975	57.45	-141
1.983	64.9	-140.6
1.992	72.12	-140.5
2	79.35	-140.2
2.008	86.21	-140
2.017	93.26	-139.7
2.025	100.3	-139.4
2.033	107.3	-138.8
2.042	114.3	-138.4
2.05	120.9	-137.6
2.058	127.4	-137.2
2.067	133.9	-136.8
2.075	140.4	-136.4
2.083	146.6	-135.7
2.092	152.7	-134.8
2.1	159.1	-134.6
2.108	165	-134
2.117	171	-133.3
2.125	176.7	-132.6
2.133	182.1	-132
2.142	187.9	-131
2.15	193.1	-130.8
2.158	198.6	-130.2
2.167	203.5	-129.6
2.175	208.3	-129
2.183	213.3	-128.3
2.192	217.7	-127.5
2.2	222.4	-127.1
2.208	226.8	-126.6
2.217	230.8	-125.8
2.225	234.8	-125.3
2.233	238.5	-124.8
2.242	242.3	-124.3
2.25	245.7	-123.7
2.258	249.1	-123.4
2.267	252.2	-122.8
2.275	255.4	-122.3
2.283	258.2	-122.2
2.292	260.7	-121.5
2.3	263.4	-121.2
2.308	265.4	-120.9
2.317	267.4	-120.6
2.325	269.5	-120.3
2.333	270.8	-119.6
2.342	272.4	-119.6
2.35	273.7	-119.3
2.358	274.5	-118.9
2.367	275.3	-118.9
2.375	276.1	-119
2.383	276.8	-118.4
2.392	277.3	-118.7
2.4	277.3	-118.7
2.408	277.3	-118.6
2.417	277	-119
2.425	276.6	-118.6
2.433	275.7	-118.7
2.442	274.6	-118.7
2.45	273.5	-118.9
2.458	272.4	-119.4
2.467	270.9	-119.5
2.475	269.3	-120.1
2.483	267.5	-120.3
2.492	265.3	-120.8
2.5	263.3	-121.3
2.508	260.7	-121.4
2.517	258.1	-122.3
2.525	255.3	-122.7
2.533	252.4	-123.2
2.542	249.3	-123.7
2.55	246.1	-124.3
2.558	242.5	-124.7
2.567	238.9	-125
2.575	234.8	-125.8
2.583	230.8	-126.5
2.592	226.5	-127.1
2.6	222.2	-127.7
2.608	217.9	-128.2
2.617	213.2	-129.3
2.625	208.3	-129.8
2.633	203.4	-130.5
2.642	198.3	-131
2.65	193.2	-131.7
2.658	187.9	-132.1
2.667	182.4	-133
2.675	176.5	-133.7
2.683	170.6	-134
2.692	164.8	-134.5
2.7	158.6	-134.9
2.708	152.5	-135.6
2.717	146.5	-136.3
2.725	139.9	-136.7
2.733	133.6	-137
2.742	126.9	-137.7
2.75	120.3	-138.1
2.758	113.8	-138.6
2.767	107.1	-139.2
2.775	100.1	-139.6
2.783	93.14	-139.8
2.792	86.18	-139.9
2.8	79.37	-140.4
2.808	72.15	-140.8
2.817	65.14	-141
2.825	58.14	-141.2
2.833	50.85	-141.4
2.842	43.47	-141.5
2.85	36.24	-141.6
2.858	28.97	-141.6
2.867	21.57	-141.7
2.875	14.26	-141.7
2.883	6.882	-141.6
2.892	-0.707	-141.7
2.9	-7.795	-141.5
2.908	-15.18	-141.2
2.917	-22.55	-141.2
2.925	-29.87	-141
2.933	-37.14	-140.6
2.942	-44.39	-140.2
2.95	-51.52	-139.7
2.958	-58.65	-139.5
2.967	-65.69	-138.9
2.975	-72.74	-138.5
2.983	-79.88	-137.9
2.992	-86.64	-137.4
3	-93.68	-136.7
3.008	-100.3	-136.1
3.017	-106.9	-135.6
3.025	-113.5	-134.8
3.033	-119.8	-134.3
3.042	-126.6	-133.5
3.05	-132.8	-132.8
3.058	-139	-131.8
3.067	-145.1	-131.3
3.075	-151.4	-130.6
3.083	-157.3	-129.8
3.092	-163.2	-128.9
3.1	-168.8	-128.3
3.108	-174.3	-127.4
3.117	-179.8	-126.8
3.125	-184.8	-126
3.133	-190.1	-125.4
3.142	-195	-124.5
3.15	-199.9	-123.7
3.158	-204.6	-122.8
3.167	-209.1	-122.2
3.175	-213.5	-121.5
3.183	-217.8	-120.8
3.192	-221.7	-119.9
3.2	-225.5	-118.8
3.208	-229.2	-118.1
3.217	-233	-117.7
3.225	-236.3	-117.2
3.233	-239.5	-116.6
3.242	-242.6	-115.8
3.25	-245.5	-114.9
3.258	-248.1	-114.2
3.267	-250.5	-113.8
3.275	-252.8	-113.1
3.283	-254.9	-112.8
3.292	-256.6	-112.2
3.3	-258.1	-111.7
3.308	-259.6	-111.3
3.317	-261.2	-111
3.325	-262.2	-110.7
3.333	-263	-110.5
3.342	-263.6	-110.3
3.35	-264	-110
3.358	-264.6	-109.9
3.367	-264.8	-109.8
3.375	-264.7	-109.5
3.383	-264.4	-109.5
3.392	-263.9	-109.6
3.4	-263.3	-109.3
3.408	-262.5	-109.3
3.417	-261.6	-109.4
3.425	-260.5	-109.4
3.433	-259.2	-109.7
3.442	-257.7	-109.5
3.45	-255.9	-109.5
3.458	-253.8	-109.8
3.467	-251.8	-110
3.475	-249.5	-110.3
3.483	-247	-110.8
3.492	-244.3	-110.7
3.5	-241.4	-111.2
3.508	-238.4	-111.6
3.517	-235.2	-111.8
3.525	-231.7	-112.3
3.533	-228.3	-112.8
3.542	-224.5	-113.1
3.55	-220.5	-113.6
3.558	-216.2	-114.1
3.567	-212.1	-114.7
3.575	-207.7	-115.3
3.583	-203.3	-115.9
3.592	-198.4	-116.5
3.6	-193.6	-116.7
3.608	-188.5	-117.4
3.617	-183.4	-117.9
3.625	-178	-118.3
3.633	-172.7	-118.9
3.642	-167.1	-119.3
3.65	-161.5	-119.6
3.658	-155.6	-120.1
3.667	-149.9	-120.7
3.675	-143.9	-121
3.683	-137.7	-121.4
3.692	-131.6	-121.8
3.7	-125.2	-122.1
3.708	-118.7	-122.6
3.717	-112.2	-122.7
3.725	-105.7	-123.3
3.733	-99.05	-123.8
3.742	-92.46	-123.9
3.75	-85.37	-124.2
3.758	-78.49	-124.6
3.767	-71.6	-124.8
3.775	-64.65	-125
3.783	-57.59	-125.3
3.792	-50.45	-125.6
3.8	-43.21	-125.8
3.808	-35.93	-125.7
3.817	-28.75	-125.9
3.825	-21.5	-125.7
3.833	-14.28	-125.7
3.842	-6.965	-125.8
3.85	0.345	-125.7
3.858	7.848	-125.6
3.867	15.04	-125.7
3.875	22.43	-125.4
3.883	29.47	-125.3
3.892	36.51	-125
3.9	43.82	-124.7
3.908	51.14	-124.4
3.917	58.25	-124.2
3.925	65.17	-123.8
3.933	72.47	-123.5
3.942	79.62	-123.1
3.95	86.64	-122.5
3.958	93.44	-121.9
3.967	100.2	-121.5
3.975	106.8	-120.8
3.983	113.6	-120.4
3.992	120.1	-119.8
4	126.9	-119.1
4.008	133.2	-118.8
4.017	139.7	-118.1
